permno,permco,ticker,issuernm,securitytype,securitysubtype,sharetype,namedt,nameenddt,securitybegdt,securityenddt,primaryexch
86454,34957,XLE,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,1998-12-22,2008-11-06,1998-12-22,2025-12-31,A
86454,34957,XLE,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,2008-11-07,2025-12-31,1998-12-22,2025-12-31,R
86455,34957,XLF,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,1998-12-22,2008-11-06,1998-12-22,2025-12-31,A
86455,34957,XLF,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,2008-11-07,2025-12-31,1998-12-22,2025-12-31,R
86456,34957,XLI,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,1998-12-22,2008-11-06,1998-12-22,2025-12-31,A
86456,34957,XLI,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,2008-11-07,2025-12-31,1998-12-22,2025-12-31,R
86457,34957,XLK,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,1998-12-22,2008-11-06,1998-12-22,2025-12-31,A
86457,34957,XLK,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,2008-11-07,2025-12-31,1998-12-22,2025-12-31,R
86452,34957,XLP,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,1998-12-22,2008-11-06,1998-12-22,2025-12-31,A
86452,34957,XLP,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,2008-11-07,2025-12-31,1998-12-22,2025-12-31,R
86451,34957,XLV,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,1998-12-22,2008-11-06,1998-12-22,2025-12-31,A
86451,34957,XLV,SELECT SECTOR SPDR TRUST,FUND,ETF,NS,2008-11-07,2025-12-31,1998-12-22,2025-12-31,R
